"date","value","section","grouping","sort","units","grade","level_achieved","unit_category","is_original","original_value","original_units","conversion_note"
1995,4668,"District_Perform","Total Students in District","DP01","count","All",NA,"count_score",FALSE,NA,NA,NA
1995,8,"District_Perform","Total Number of Schools","DP02","count","All",NA,"count_score",FALSE,NA,NA,NA
1995,0.947,"District_Perform","Attendance Rate","DP03","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
1995,NA,"District_Perform","Completion Rate","DP04","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1995,267,"District_Perform","Annual Graduate Count","DP05","count","All",NA,"count_score",FALSE,NA,NA,NA
1995,NA,"District_Perform","Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count","DP06","count","All",NA,"count_score",FALSE,NA,NA,NA
1995,NA,"District_Perform","4-Year Longitudinal Graduation Rate","DP07","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1995,NA,"District_Perform","5-Year Longitudinal Graduation Rate","DP08","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1995,NA,"District_Perform","6-Year Longitudinal Graduation Rate","DP09","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1995,0.016,"District_Perform","Annual Dropout Rate","DP10","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
1995,NA,"District_Perform","Annual Dropout Rate Gr 9-12","DP11","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1995,NA,"District_Perform","Four-year Dropout Rate","DP12","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1995,NA,"District_Perform","Exit-Level Cumulative Pass Rate","DP13","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1996,4831,"District_Perform","Total Students in District","DP01","count","All",NA,"count_score",FALSE,NA,NA,NA
1996,8,"District_Perform","Total Number of Schools","DP02","count","All",NA,"count_score",FALSE,NA,NA,NA
1996,0.95,"District_Perform","Attendance Rate","DP03","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
1996,NA,"District_Perform","Completion Rate","DP04","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1996,260,"District_Perform","Annual Graduate Count","DP05","count","All",NA,"count_score",FALSE,NA,NA,NA
1996,NA,"District_Perform","Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count","DP06","count","All",NA,"count_score",FALSE,NA,NA,NA
1996,NA,"District_Perform","4-Year Longitudinal Graduation Rate","DP07","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1996,NA,"District_Perform","5-Year Longitudinal Graduation Rate","DP08","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1996,NA,"District_Perform","6-Year Longitudinal Graduation Rate","DP09","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1996,0.02,"District_Perform","Annual Dropout Rate","DP10","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
1996,NA,"District_Perform","Annual Dropout Rate Gr 9-12","DP11","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1996,NA,"District_Perform","Four-year Dropout Rate","DP12","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1996,NA,"District_Perform","Exit-Level Cumulative Pass Rate","DP13","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1997,5128,"District_Perform","Total Students in District","DP01","count","All",NA,"count_score",FALSE,NA,NA,NA
1997,8,"District_Perform","Total Number of Schools","DP02","count","All",NA,"count_score",FALSE,NA,NA,NA
1997,0.951,"District_Perform","Attendance Rate","DP03","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
1997,NA,"District_Perform","Completion Rate","DP04","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
